1:499.511,316.696,0.778588,
2:504.057,362.158,0.777065,
3:510.118,409.136,0.865583,
4:510.118,457.629,0.809712,
5:513.149,498.545,0.729619,
6:535.88,540.976,0.714118,
7:566.188,578.861,0.703339,
8:596.496,607.654,0.738492,
9:635.897,619.777,0.698,
10:678.328,616.746,0.752295,
11:714.698,590.984,0.775407,
12:746.521,557.645,0.752112,
13:776.829,522.791,0.768622,
14:790.468,481.875,0.831933,
15:801.076,434.898,0.850689,
16:813.199,392.467,0.777481,
17:823.807,348.52,0.73371,
18:529.819,318.212,0.813721,
19:555.58,307.604,0.814866,
20:584.373,310.635,0.878401,
21:613.166,315.181,0.81307,
22:641.958,328.82,0.834835,
23:691.967,333.366,0.852883,
24:717.729,322.758,0.881194,
25:749.552,315.181,0.842937,
26:776.829,318.212,0.843222,
27:801.076,336.397,0.865126,
28:664.689,353.066,0.842073,
29:660.143,384.89,0.890041,
30:657.112,413.682,0.866805,
31:655.597,447.021,0.900658,
32:620.743,456.113,0.904729,
33:632.866,463.69,0.88085,
34:651.051,471.267,0.852717,
35:669.236,468.237,0.892721,
36:682.874,460.66,0.875854,
37:566.188,340.943,0.83929,
38:584.373,336.397,0.928117,
39:607.104,337.912,0.93476,
40:622.258,350.035,0.898878,
41:605.589,350.035,0.872669,
42:582.858,350.035,0.945661,
43:705.605,359.128,0.877189,
44:726.821,345.489,0.840235,
45:746.521,347.004,0.851861,
46:764.706,356.097,0.88998,
47:746.521,360.643,0.892342,
48:726.821,360.643,0.920702,
49:582.858,504.606,0.94282,
50:607.104,498.545,0.878472,
51:631.351,497.029,0.892237,
52:648.02,506.122,0.917218,
53:667.72,503.091,0.889894,
54:691.967,506.122,0.933457,
55:711.667,513.699,0.847802,
56:691.967,544.007,0.916577,
57:667.72,556.13,0.933559,
58:644.989,556.13,0.972425,
59:623.774,554.615,0.881693,
60:601.043,536.43,0.772355,
61:594.981,507.637,0.923677,
62:631.351,507.637,0.892545,
63:646.505,510.668,0.872928,
64:667.72,510.668,0.848043,
65:702.575,518.245,0.865833,
66:667.72,530.368,0.89856,
67:646.505,530.368,0.916476,
68:629.835,528.853,0.785706,
69:594.981,339.427,0.839754,
