1:470.932,297.372,0.825081,
2:472.251,329.009,0.79643,
3:474.887,359.329,0.798289,
4:480.16,389.648,0.748661,
5:488.069,418.649,0.748592,
6:506.525,448.968,0.805216,
7:524.98,471.378,0.778807,
8:548.708,492.47,0.844495,
9:579.027,499.061,0.775022,
10:611.983,492.47,0.8629,
11:642.302,475.333,0.801063,
12:666.03,451.605,0.837605,
13:684.486,426.559,0.815313,
14:696.35,394.921,0.8078,
15:698.986,364.602,0.816567,
16:705.577,330.328,0.819067,
17:706.896,294.735,0.800822,
18:478.842,260.461,0.885938,
19:494.66,247.279,0.879627,
20:514.434,240.688,0.841272,
21:534.207,247.279,0.854409,
22:551.344,255.189,0.874368,
23:592.21,252.552,0.85083,
24:614.619,244.643,0.842924,
25:640.984,239.37,0.900689,
26:666.03,245.961,0.890051,
27:684.486,260.461,0.871536,
28:569.8,277.598,0.880127,
29:569.8,292.099,0.920035,
30:568.481,309.236,0.828086,
31:565.845,323.737,0.833994,
32:548.708,354.056,0.90641,
33:559.254,355.374,0.904987,
34:569.8,356.692,0.879617,
35:581.664,355.374,0.957233,
36:593.528,354.056,0.887572,
37:499.933,286.826,0.868198,
38:513.116,277.598,0.862727,
39:530.253,276.28,0.856012,
40:547.39,286.826,0.866655,
41:530.253,292.099,0.877187,
42:514.434,292.099,0.862464,
43:605.392,288.144,0.853054,
44:622.529,276.28,0.910627,
45:642.302,276.28,0.863907,
46:655.485,285.508,0.921927,
47:642.302,292.099,0.926995,
48:622.529,292.099,0.969002,
49:526.298,408.103,0.893701,
50:539.48,396.239,0.96321,
51:556.617,385.693,0.873012,
52:569.8,387.012,0.927547,
53:581.664,385.693,0.922264,
54:602.755,394.921,0.871051,
55:623.847,408.103,0.922707,
56:605.392,425.24,0.816398,
57:585.618,429.195,0.857739,
58:571.118,430.513,0.909645,
59:557.935,429.195,0.889335,
60:539.48,425.24,0.839782,
61:532.889,408.103,0.861632,
62:556.617,405.467,0.874592,
63:569.8,405.467,0.938109,
64:582.982,405.467,0.870942,
65:613.301,408.103,0.911704,
66:582.982,406.785,0.876247,
67:569.8,406.785,0.929612,
68:557.935,406.785,0.895968,
69:523.661,281.553,0.788913,
70:633.075,281.553,0.877707,
