1:453.113,307.88,0.7628,
2:459.118,346.912,0.858932,
3:460.619,384.442,0.877176,
4:469.626,421.973,0.795433,
5:480.135,461.005,0.737544,
6:498.15,497.034,0.709576,
7:523.671,528.56,0.762436,
8:556.697,558.584,0.824015,
9:594.228,567.592,0.78689,
10:640.766,563.088,0.846265,
11:676.795,539.068,0.817859,
12:715.827,509.044,0.750666,
13:745.852,476.017,0.748382,
14:757.862,432.481,0.795258,
15:762.365,387.445,0.806214,
16:771.373,346.912,0.856711,
17:774.375,304.877,0.755259,
18:469.626,288.364,0.85972,
19:480.135,262.843,0.869019,
20:504.155,250.833,0.866271,
21:531.177,249.332,0.887541,
22:558.199,255.337,0.842178,
23:616.746,253.836,0.858795,
24:646.771,240.325,0.813733,
25:678.297,238.823,0.859256,
26:711.324,250.833,0.872538,
27:735.343,274.853,0.809735,
28:588.223,288.364,0.874824,
29:583.72,315.386,0.822449,
30:580.717,345.41,0.860658,
31:579.216,372.432,0.870561,
32:550.693,385.943,0.814736,
33:567.206,394.951,0.936691,
34:582.218,400.956,0.8305,
35:604.737,394.951,0.907031,
36:625.754,385.943,0.844709,
37:505.656,298.872,0.872603,
38:519.167,288.364,0.930768,
39:538.683,288.364,0.894692,
40:556.697,298.872,0.946257,
41:538.683,300.374,0.900752,
42:519.167,300.374,0.915838,
43:640.766,297.371,0.902323,
44:660.282,285.361,0.831511,
45:678.297,285.361,0.919362,
46:696.311,292.867,0.842522,
47:678.297,298.872,0.917766,
48:661.783,298.872,0.868324,
49:519.167,430.98,0.920316,
50:543.186,427.978,0.88782,
51:567.206,426.476,0.850774,
52:589.724,429.479,0.906388,
53:610.742,423.474,0.832731,
54:645.27,421.973,0.771626,
55:679.798,421.973,0.838421,
56:648.272,464.007,0.773268,
57:615.245,479.019,0.921833,
58:591.226,480.521,0.94617,
59:568.707,479.019,0.939395,
60:543.186,464.007,0.824357,
61:528.174,432.481,0.832654,
62:567.206,432.481,0.936683,
63:589.724,433.983,0.887836,
64:613.744,432.481,0.819246,
65:673.793,427.978,0.837734,
66:615.245,458.002,0.858666,
67:591.226,465.508,0.893237,
68:568.707,461.005,0.845332,
69:529.675,292.867,0.815415,
